Rank,Name,Pod,Points,W/L/D,OMW%,GW%,OGW%
1,Player 14,2,10,3/0/1,60.4%,70.0%,58.2%
2,Player 4,2,10,3/0/1,54.2%,70.0%,54.6%
3,Player 12,2,9,3/1/0,60.4%,75.0%,56.0%
4,Player 6,2,9,3/1/0,56.3%,55.6%,57.4%
5,Player 13,2,9,3/1/0,45.8%,75.0%,47.2%
6,Player 11,1,6,2/2/0,70.8%,55.6%,67.5%
7,Player 10,1,6,2/2/0,56.3%,54.5%,49.7%
8,Player 1,2,6,2/2/0,54.2%,50.0%,51.0%
9,Player 3,2,6,2/2/0,54.2%,50.0%,49.3%
10,Player 2,1,6,2/2/0,50.0%,50.0%,49.7%
11,Player 16,2,6,2/2/0,33.3%,44.4%,35.0%
12,Player 8,1,3,1/2/0,63.9%,42.9%,59.4%
13,Player 9,1,3,1/3/0,56.3%,33.3%,54.9%
14,Player 5,1,3,1/3/0,50.0%,40.0%,49.7%
15,Player 15,1,3,1/3/0,44.4%,33.3%,45.8%
16,Player 7,1,0,0/4/0,58.3%,33.3%,54.7%
